,SALDO INICIAL 2011,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,"CARTA DE CREDITO / BCO, CREDITO",,,,,,,,,,,,,,,,,,,,,
,VP.   :  ANDINO  LLEGO  22.02.10,,,,,,PRODUCCION DICIEMBRE -2009   05  UNIDADES  (2do. PARCIAL)   INDONESIA,,,,,,,,,,,,,,,
,B/L  NYKS940004138,,,,,,,,,,,,,,,,,,,,,
,C2WE-09-2407-112L-02,,17.12.09,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,VERSION,,SPEC,MODELO,POLIZA,# ORD.,CHASIS,,MOTOR,COLOR,F/LLEG,TRANSM.,,,,,,,,,,TALLER
,,,,,,,,,,,,,,,,,,,,,,
2,MEC,,NB,TERIOS LONG,46628,3951,MHKG2CN20AK000414,,3SZ DBK8392,ROJO VINO,,,,,,,,,,,,
3,AUTOM,,NE,TERIOS LONG,46556,3952,MHKG2CP20AK000288,W,3SZ DBK6740,NEGRO,,,,,,,,,,,,
4,AUTOM,,NE,TERIOS LONG,46560,3953,MHKG2CP20AK000289,,3SZ DBK4693,ROJO VINO,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,"CARTA DE CREDITO / BCO, CREDITO",,,,,,,,,,,,,,,,,,,,,
,VP.   :  ANDINO  LLEGO  22.02.10,,,,,,PRODUCCION ENERO -2010   06 UNIDADES  (1ER. PARCIAL)   INDONESIA,,,,,,,,,,,,,,,
,B/L  NYKS940004139,,,,,,,,,,,,,,,,,,,,,
,C2WE-10-2407-101L-01,,14.01.10,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,VERSION,,SPEC,MODELO,POLIZA,# ORD.,CHASIS,,MOTOR,COLOR,F/LLEG,TRANSM.,,,,,,,,,,TALLER
,,,,,,,,,,,,,,,,,,,,,,
5,MEC,,NB,TERIOS LONG,46591,3959,MHKG2CN20AK000421,,3SZ DBL3474,PLATA,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,"CARTA DE CREDITO / BCO, CREDITO",,,,,,,,,,,,,,,,,,,,,
,VP.   :  ZEUS LEADER  LLEGO  22.03.10,,,,,,PRODUCCION ENERO -2010   04 UNIDADES  (2DO. PARCIAL)   INDONESIA,,,,,,,,,,,,,,,
,B/L  KKLUJKT224362,,,,,,,,,,,,,,,,,,,,,
,C2WE-10-2407-101L-02,,12.02.10,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,VERSION,,SPEC,MODELO,POLIZA,# ORD.,CHASIS,,MOTOR,COLOR,F/LLEG,TRANSM.,,,,,,,,,,TALLER
,,,,,,,,,,,,,,,,,,,,,,
2,MEC,,NB,TERIOS LONG,78943,4608,MHKG2CN20AK000426,,3SZ DBL3570,BEIGE,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,"CARTA DE CREDITO / BCO, CREDITO",,,,,,,,,,,,,,,,,,,,,
,VP.   :  CSAV RIO GREY LLEGO  21.04.10,,,,,,PRODUCCION FEBRERO -2010   16 UNIDADES  (2DO. PARCIAL)   INDONESIA,,,,,,,,,,,,,,,
,B/L  NYKS940004250,,,,,,,,,,,,,,,,,,,,,
,C2WE-10-2407-102L-02,,11.03.10,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,VERSION,,SPEC,MODELO,POLIZA,# ORD.,CHASIS,,MOTOR,COLOR,F/LLEG,TRANSM.,,,,,,,,,,TALLER
,,,,,,,,,,,,,,,,,,,,,,
10,AUTOMAT,,NE,TERIOS LONG,114477,8493,MHKG2CP20AK000292,,3SZ DBL9933,ROJO VINO,,,,,,,,,,,,
11,AUTOMAT,,NE,TERIOS LONG,114478,8494,MHKG2CP20AK000293,,3SZ DBM3356,PLATA,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,"CARTA DE CREDITO / BCO, SCOTIABANK",,,,,,,,,,,,,,,,,,,,,
,VP.   :  CSAV RIO GREY LLEGO  21.04.10,,,,,,PRODUCCION MARZO -2010   10 UNIDADES  INDONESIA,,,,,,,,,,,,,,,
,B/L  NYKS940004251,,,,,,,,,,,,,,,,,,,,,
,C2WE-10-2407-103L-01,,11.03.10,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,VERSION,,SPEC,MODELO,POLIZA,# ORD.,CHASIS,,MOTOR,COLOR,F/LLEG,TRANSM.,,,,,,,,,,TALLER
,,,,,,,,,,,,,,,,,,,,,,
6,MECAN,,NB,TERIOS LONG,114481,6803,MHKG2CN20AK000445,,3SZ DBM7900,NEGRO,,,,,,,,,,,,
10,MECAN,,NB,TERIOS LONG,114501,6807,MHKG2CN20AK000449,,3SZ DBM8332,PLATA,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,"CARTA DE CREDITO / BCO, CREDITO",,,,,,,,,,,,,,,,,,,,,
,VP.   :  CENTAURUS LEADER  LLEGO:  V23.06.10,,,,,,PRODUCCION ABRIL -2010   10 UNIDADES  INDONESIA ,,,,,,,,,,,,,,,
,B/L  NYKS940004371,,,,,,,,,,,,,,,,,,,,,
,C2WE-102407-104L-01,,14.05.10,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,VERSION,,SPEC,MODELO,POLIZA,# ORD.,CHASIS,,MOTOR,COLOR,F/LLEG,TRANSM.,,,,,,,,,,TALLER
,,,,,,,,,,,,,,,,,,,,,,
5,LUXURY,,RA,TERIOS LONG,185622,13320,MHKG2CP40AK002549,,3SZ DBN8344,ROJO VINO,,,,,,,,,,,,
9,LUXURY,,RA,TERIOS LONG,185630,13324,MHKG2CP40AK002559,,3SZ DBN7835,ROJO VINO,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,"CARTA DE CREDITO / BCO, INTERBANK",,,,,,,,,,,,,,,,,,,,,
,VP.   :  CENTAURUS LEADER  LLEGO:  23.06.10,,,,,,PRODUCCION MAYO-2010   14 UNIDADES  JAPON ,,,,,,,,,,,,,,,
,B/L  NYKS180725400,,,,,,,,,,,,,,,,,,,,,
,TM343050,,21.05.10,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,VERSION,,SPEC,MODELO,POLIZA,# ORD.,CHASIS,,MOTOR,COLOR,F/LLEG,TRANSM.,,,,,,,,,,TALLER
,,,,,,,,,,,,,,,,,,,,,,
5,ALLOY 10,,T2PB7,TERIOS,185610,13652,JDAJ200G0B1026830,,3SZ 2536721,VERDE BRIT,,,,,,,,,,,,
8,ALLOY 10,,T2PB7,TERIOS,185605,13655,JDAJ200G0B1026855,,3SZ 2536605,ROJO,,,,,,,,,,,,
,"CARTA DE CREDITO / BCO, CREDITO",,,,,,,,,,,,,,,,,,,,,
,VP.   :  CENTAURUS LEADER  LLEGO:  23.06.10,,,,,,PRODUCCION MAYO-2010   02 UNIDADES  INDONESIA (1ER. PARCIAL),,,,,,,,,,,,,,,
,B/L  NYKS940004372,,,,,,,,,,,,,,,,,,,,,
,C2WE-10-2407-105L-01,,14.05.10,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,VERSION,,SPEC,MODELO,POLIZA,# ORD.,CHASIS,,MOTOR,COLOR,F/LLEG,TRANSM.,,,,,,,,,,TALLER
,,,,,,,,,,,,,,,,,,,,,,
2,MECANICA,,NB,TERIOS LONG,185579,13420,MHKG2CN20AK000452,,3SZ DBM8690,NEGRO,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,"CARTA DE CREDITO / BCO, CREDITO",,,,,,,,,,,,,,,,,,,,,
,VP.   :  ATLANTIC HIGHWAY LLEGO:  21.07.10,,,,,,PRODUCCION JUNIO -2010   15 UNIDADES JAPON ,,,,,,,,,,,,,,,
,B/L  KKLUJPN369918,,,,,,,,,,,,,,,,,,,,,
,TM345230,,18.06.10,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,VERSION,,SPEC,MODELO,POLIZA,# ORD.,CHASIS,,MOTOR,COLOR,F/LLEG,TRANSM.,,,,,,,,,,TALLER
,,,,,,,,,,,,,,,,,,,,,,
1,ALLOY 10,,T2PB7,TERIOS,219118,15974,JDAJ200G0B1027193,,3SZ 2541051,NEGRO,AÑO MODELO,,,,,,,,,,,
5,ALLOY 10,,T2PB7,TERIOS,219126,16079,JDAJ200G0B1027283,,3SZ 2543484,ROJO,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,"CARTA DE CREDITO / BCO, CREDITO",,,,,,,,,,,,,,,,,,,,,
,VP.   :  PLEIADES LEADER  LLEGO:  22.08.10  ,,,,,,PRODUCCION MAYO-2010   06 UNIDADES INDONESIA  2DO. PARCIAL ,,,,,,,,,,,,,,,
,B/L  KKLUJKT231454,,,,,,,,,,,,,,,,,,,,,
,C2WE-10-2407-105L-02,,02.06.10,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,VERSION,,SPEC,MODELO,POLIZA,# ORD.,CHASIS,,MOTOR,COLOR,F/LLEG,TRANSM.,,,,,,,,,,TALLER
,,,,,,,,,,,,,,,,,,,,,,
6,NB,,D2430,TERIOS LONG,262986,13647,MHKG2CN20AK000461,,3SZ DBP9773,PLATA,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,"CARTA DE CREDITO / BCO, CREDITO",,,,,,,,,,,,,,,,,,,,,
,VP.   :  CS CCASIA  LLEGO:  06.08.10,,,,,,PRODUCCION MAYO-2010   02 UNIDADES  INDONESIA (3ER. PARCIAL),,,,,,,,,,,,,,,
,B/L  NYKS940004494,,,,,,,,,,,,,,,,,,,,,
,C2WE-10-2407-105L-03,,02.07.10,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,VERSION,,SPEC,MODELO,POLIZA,# ORD.,CHASIS,,MOTOR,COLOR,F/LLEG,TRANSM.,,,,,,,,,,TALLER
,,,,,,,,,,,,,,,,,,,,,,
1,F700LG-GMDF         ,,NB,TERIOS LONG,240328,16362,MHKG2CN20AK000464,,3SZ DBR4324,NEGRO,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,"CARTA DE CREDITO / BCO, CREDITO",,,,,,,,,,,,,,,,,,,,,
,VP.   :  CS CCASIA  LLEGO:  06.08.10,,,,,,PRODUCCION JUNIO -2010   08 UNIDADES  INDONESIA   (1ER. PARCIAL),,,,,,,,,,,,,,,
,B/L  NYKS940004495,,,,,,,,,,,,,,,,,,,,,
,C2WE-10-2407-106L-01,,02.07.10,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,VERSION,,SPEC,MODELO,POLIZA,# ORD.,CHASIS,,MOTOR,COLOR,F/LLEG,TRANSM.,,,,,,,,,,TALLER
,,,,,,,,,,,,,,,,,,,,,,
3,F700LG-GMDF         ,,NB,TERIOS LONG,240705,,MHKG2CN20AK000465,,3SZ DBR2503,NEGRO,,,,,,,,,,,,
4,F700LG-GMDF         ,,NB,TERIOS LONG,240730,,MHKG2CN20AK000470,,3SZ DBR6622,NEGRO,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,"CARTA DE CREDITO / BCO, SCOTIBANK",,,,,,,,,,,,,,,,,,,,,
,VP.   :  ARTEMIS LEADER  LLEGO:  27.08.10,,,,,,PRODUCCION JULIO -2010   10 UNIDADES  JAPON,,,,,,,,,,,,,,,
,B/L  NYKS180744075,,,,,,,,,,,,,,,,,,,,,
,TM348000,,26.07.10,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,VERSION,,SPEC,MODELO,POLIZA,# ORD.,CHASIS,,MOTOR,COLOR,F/LLEG,TRANSM.,,,,,,,,,,TALLER
,,,,,,,,,,,,,,,,,,,,,,
2,ALLOY 10,,T2PW4,TERIOS,263245,18447,JDAJ200G0B1027581,,3SZ 2543448,ROJO,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,"CARTA DE CREDITO / BCO, SCOTIABANK",,,,,,,,,,,,,,,,,,,,,
,VP.   :  OREGON HIGHWAY  LLEGO:  21.09.10,,,,,,PRODUCCION AGOSTO -2010   12 UNIDADES  JAPON,,,,,,,,,,,,,,,
,B/L  KKLUJPN371784,,,,,,,,,,,,,,,,,,,,,
,TM350120,,23.08.10,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,VERSION,,SPEC,MODELO,POLIZA,# ORD.,CHASIS,,MOTOR,COLOR,F/LLEG,TRANSM.,,,,,,,,,,TALLER
,,,,,,,,,,,,,,,,,,,,,,
1,ALLOY 10,,T2PW4,TERIOS,306084,19623,JDAJ200G0B1027949,,3SZ 2551078,BEIGE,,,,,,,,,,,,
2,ALLOY 10,,T2PW4,TERIOS,306087,19624,JDAJ200G0B1027957,,3SZ 2551022,VERDE BRITANICO,,,,,,,,,,,,
3,ALLOY 10,,T2PW4,TERIOS,306091,19625,JDAJ200G0B1027985,N,3SZ 2543501,ROJO,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,"CARTA DE CREDITO / BCO, CREDITO",,,,,,,,,,,,,,,,,,,,,
,VP.   :  ZENITH LEADER  LLEGO:  25.10.10,,,,,,PRODUCCION SETIEMBRE -2010   20 UNIDADES  JAPON,,,,,,,,,,,,,,,
,B/L  NYKS180761806,,,,,,,,,,,,,,,,,,,,,
,TM353150,,22.09.10,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,VERSION,,SPEC,MODELO,POLIZA,# ORD.,CHASIS,,MOTOR,COLOR,F/LLEG,TRANSM.,,,,,,,,,,TALLER
,,,,,,,,,,,,,,,,,,,,,,
1,ALLOY 10,,T2PW4,TERIOS,357662,10-014928,JDAJ200G0B1028336,,3SZ 2553154,VERDE,,,,,,,,,,,,
2,ALLOY 10,,T2PW4,TERIOS,357625,10-014929,JDAJ200G0B1028342,,3SZ 2553136,ROJO,,,,,,,,,,,,
4,ALLOY 10,,T2PW4,TERIOS,357648,10-014931,JDAJ200G0B1028363,,3SZ 2553117,BEIGE,,,,,,,,,,,,
8,ALLOY 10,,T2PW4,TERIOS,357647,10-014935,JDAJ200G0B1028397,,3SZ 2592801,PLATA,,,,,,,,,,,,
9,ALLOY 10,,T2PW4,TERIOS,357641,10-014936,JDAJ200G0B1028408,,3SZ 2591552,ROJO,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,"CARTA DE CREDITO / BCO, SCOTIABANK",,,,,,,,,,,,,,,,,,,,,
,VP.   :  OREGON HIGHWAY  LLEGO:  21.09.10,,,,,,PRODUCCION AGOSTO -2010   12 UNIDADES  JAPON,,,,,,,,,,,,,,,
,B/L  KKLUJPN371784,,,,,,,,,,,,,,,,,,,,,
,TM350120,,23.08.10,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,VERSION,,SPEC,MODELO,POLIZA,# ORD.,CHASIS,,MOTOR,COLOR,F/LLEG,TRANSM.,,,,,,,,,,TALLER
,,,,,,,,,,,,,,,,,,,,,,
12,SAFETY 10 autom,,T2PX3,TERIOS,306089,19634,JDAJ210G0B1117003,,3SZ 2567927,NEGRO,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,"CARTA DE CREDITO / BCO, SCOTIBANK",,,,,,,,,,,,,,,,,,,,,
,VP.   :  ARTEMIS LEADER  LLEGO:  27.08.10,,,,,,PRODUCCION JULIO -2010   10 UNIDADES  JAPON,,,,,,,,,,,,,,,
,B/L  NYKS180744075,,,,,,,,,,,,,,,,,,,,,
,TM348000,,26.07.10,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,VERSION,,SPEC,MODELO,POLIZA,# ORD.,CHASIS,,MOTOR,COLOR,F/LLEG,TRANSM.,,,,,,,,,,TALLER
,,,,,,,,,,,,,,,,,,,,,,
10,SAFETY 10,,T2PX3,TERIOS,263237,18455,JDAJ210G0B1116600,,3SZ 2567954,PLATA,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,"CARTA DE CREDITO / BCO, CREDITO",,,,,,,,,,,,,,,,,,,,,
,VP.   :  ZENITH LEADER  LLEGO:  25.10.10,,,,,,PRODUCCION SETIEMBRE -2010   20 UNIDADES  JAPON,,,,,,,,,,,,,,,
,B/L  NYKS180761806,,,,,,,,,,,,,,,,,,,,,
,TM353150,,22.09.10,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,VERSION,,SPEC,MODELO,POLIZA,# ORD.,CHASIS,,MOTOR,COLOR,F/LLEG,TRANSM.,,,,,,,,,,TALLER
,,,,,,,,,,,,,,,,,,,,,,
16,SAFETY 10,,T2PW9,TERIOS,357655,10-014943,JDAJ210G0B1117948,,3SZ 2553163,VERDE,,,,,,,,,,,,
17,SAFETY 10,,T2PW9,TERIOS,357616,10-014944,JDAJ210G0B1118032,,3SZ 2553110,ROJO,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,"CARTA DE CREDITO / BCO, CREDITO",,,,,,,,,,,,,,,,,,,,,
,VP.   :  BALTIMORE HIGHWAY  LLEGO:  26.01.11,,,,,,PRODUCCION OCTUBRE -2010   20 UNIDADES  JAPON,,,,,,,,,,,,,,,
,B/L  KKLUJPN375138,,,,,,,,,,,,,,,,,,,,,
,TM360700,,22.12.10,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,VERSION,,SPEC,MODELO,POLIZA,# ORD.,CHASIS,,MOTOR,COLOR,AÑO ,TRANSM.,,,,,,,,,,FAB.
,,,,,,,,,,,,,,,,,,,,,,
1,BASIC 10,,AUTOM.,TERIOS 4X2,26873,122871,JDAJ200G0B1028770,,3SZ 2616050,GRIS,2010,,,,,,,,,,,
2,BASIC 10,,AUTOM.,TERIOS 4X2,26877,122872,JDAJ200G0B1028778,,3SZ 2616049,NEGRO,2010,,,,,,,,,,,
3,BASIC 10,,AUTOM.,TERIOS 4X2,26890,122873,JDAJ200G0B1028797,,3SZ 2616035,VERDE BRITANICO,2010,,,,,,,,,,,
4,BASIC 10,,AUTOM.,TERIOS 4X2,26872,122874,JDAJ200G0B1028811,,3SZ 2616052,BEIGE,2010,,,,,,,,,,,
5,BASIC 10,,AUTOM.,TERIOS 4X2,26881,122875,JDAJ200G0B1028822,,3SZ 2616029,ROJO,2010,,,,,,,,,,,
6,BASIC 10,,AUTOM.,TERIOS 4X2,26879,122876,JDAJ200G0B1028825,REEMBOLSO,3SZ 2627708,PLATA,2010,,,,,,,,,,,
7,BASIC 10,,AUTOM.,TERIOS 4X2,26876,122877,JDAJ200G0B1028846,REEMBOLSO,3SZ 2627710,GRIS,2010,,,,,,,,,,,
8,SAFETY 10,,MEC.,TERIOS 4X4,26884,122878,JDAJ210G0B1118621,,3SZ 2578932,GRIS,2010,,,,,,,,,,,
9,SAFETY 10,,MEC.,TERIOS 4X4,26904,122879,JDAJ210G0B1118636,,3SZ 2595749,VERDE BRITANICO,2010,,,,,,,,,,,
10,SAFETY 10,,MEC.,TERIOS 4X4,26874,122880,JDAJ210G0B1118639,,3SZ 2595696,ROJO,2010,,,,,,,,,,,
11,SAFETY 10,,MEC.,TERIOS 4X4,26880,122881,JDAJ210G0B1118660,,3SZ 2595743,BEIGE,2010,,,,,,,,,,,
12,SAFETY 10,,MEC.,TERIOS 4X4,2882,122882,JDAJ210G0B1118668,REEMBOLSO,3SZ 2595651,PLATA,2010,,,,,,,,,,,
13,SAFETY 10,,MEC.,TERIOS 4X4,26889,122883,JDAJ210G0B1118669,,3SZ 2595725,NEGRO,2010,,,,,,,,,,,
14,SAFETY 10,,MEC.,TERIOS 4X4,26885,122884,JDAJ210G0B1118695,,3SZ 2592821,GRIS,2010,,,,,,,,,,,
15,SAFETY 10,,MEC.,TERIOS 4X4,26875,122885,JDAJ210G0B1118700,,3SZ 2611011,PLATA,2010,,,,,,,,,,,
16,SAFETY 10,,AUTOM.,TERIOS 4X4,26891,122886,JDAJ210G0B1118625,,3SZ 2616064,NEGRO,2010,,,,,,,,,,,
17,SAFETY 10,,AUTOM.,TERIOS 4X4,26894,122887,JDAJ210G0B1118687,,3SZ 2627822,ROJO,2010,,,,,,,,,,,
18,SAFETY 10,,AUTOM.,TERIOS 4X4,26888,122888,JDAJ210G0B1118694,,3SZ 2627727,PLATA,2010,,,,,,,,,,,
19,SAFETY 10,,AUTOM.,TERIOS 4X4,26892,122889,JDAJ210G0B1118704,,3SZ 2627704,BEIGE,2010,,,,,,,,,,,
20,SAFETY 10,,AUTOM.,TERIOS 4X4,26887,122890,JDAJ210G0B1118736,,3SZ 2627380,GRIS,2010,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,"CARTA DE CREDITO / BCO, SCOTIABANK",,,,,,,,,,,,,,,,,,,,,
,VP.   :  CHANG TAI HONG  LLEGO:  16.02.11 ,,,,,,PRODUCCION  OCTUBRE    -2010   20 UNIDADES  INDONESIA,,,,,,,,,,,,,,,
,B/L  KKLUJKT242473,,,,,,,,,,,,,,,,,,,,,
,C2WE-10-2407-110L-01,,28.01.11,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,VERSION,,SPEC,MODELO,POLIZA,# ORD.,CHASIS,,MOTOR,COLOR,AÑO,TRANSM.,,,,,,,,,,FAB.
,,,,,,,,,,,,,,,,,,,,,,
1,MECANICA,,ZQ,TERIOS LONG,58822,125336,MHKG2CN20BK000480,,3SZ DBN7993,BEIGE,2010,,,,,,,,,,,
2,MECANICA,,ZQ,TERIOS LONG,58801,125337,MHKG2CN20BK000481,,3SZ DBU7592,GRIS,2010,,,,,,,,,,,
3,MECANICA,,ZQ,TERIOS LONG,58812,125338,MHKG2CN20BK000482,,3SZ DBN8004,MARRON PARDO,2010,,,,,,,,,,,
4,MECANICA,,ZQ,TERIOS LONG,58806,125339,MHKG2CN20BK000483,,3SZ DBU7596,NEGRO,2010,,,,,,,,,,,
5,MECANICA,,ZQ,TERIOS LONG,58802,125340,MHKG2CN20BK000484,,3SZ DBU7579,PLATA,2010,,,,,,,,,,,
6,MECANICA,,ZQ,TERIOS LONG,58803,125341,MHKG2CN20BK000485,,3SZ DBU8246,BEIGE,2010,,,,,,,,,,,
7,MECANICA,,ZQ,TERIOS LONG,58800,125342,MHKG2CN20BK000486,,3SZ DBV0027,GRIS,2010,,,,,,,,,,,
8,MECANICA,,ZQ,TERIOS LONG,58811,125343,MHKG2CN20BK000487,,3SZ DBU7930,MARRON PARDO,2010,,,,,,,,,,,
9,MECANICA,,ZQ,TERIOS LONG,58804,125344,MHKG2CN20BK000488,,3SZ DBV4204,NEGRO,2010,,,,,,,,,,,
10,MECANICA,,ZQ,TERIOS LONG,58799,125345,MHKG2CN20BK000489,,3SZ DBV2878,PLATA,2010,,,,,,,,,,,
11,AUTOMATICA,,LUXURY,TERIOS LONG,58814,125346,MHKG2CP40BK002620,,3SZ DBS3860,BEIGE,2010,,,,,,,,,,,
12,AUTOMATICA,,LUXURY,TERIOS LONG,58813,125347,MHKG2CP40BK002621,,3SZ DBS2404,NEGRO,2010,,,,,,,,,,,
13,AUTOMATICA,,LUXURY,TERIOS LONG,58809,125348,MHKG2CP40BK002622,,3SZ DBS6468,GRIS,2010,,,,,,,,,,,
14,AUTOMATICA,,LUXURY,TERIOS LONG,58816,125349,MHKG2CP40BK002623,,3SZ DBS6365,MARRON PARDO,2010,,,,,,,,,,,
15,AUTOMATICA,,LUXURY,TERIOS LONG,58807,125350,MHKG2CP40BK002624,,3SZ DBU7577,PLATA,2010,,,,,,,,,,,
16,AUTOMATICA,,LUXURY,TERIOS LONG,58810,125351,MHKG2CP40BK002625,,3SZ DBU7576,BEIGE,2010,,,,,,,,,,,
17,AUTOMATICA,,LUXURY,TERIOS LONG,58805,125352,MHKG2CP40BK002626,,3SZ DBU7598,GRIS,2010,,,,,,,,,,,
